;index;cutoutname;objname;ra;dec;VIS;Y;H;J;grade;new;rawscore;notes
27;176;TILE102158889_2677624236654538082;EUCLJ175102.98+652713.71;267.762423658248;65.45380829154423;20.250145;19.883667;19.067047;19.477308;BA;N;22.528963088989254;Previously found in L25,W25
28;149;TILE102157953_2669397021640472384;EUCLJ174745.53+640250.06;266.9397021862729;64.04723848691526;19.295918;18.762508;17.972937;18.37217;BA;N;21.34812355041504;Previously found in L25,W25
29;82;TILE102021988_-640289253474412348;EUCLJ041606.94-472628.45;64.0289253232282;-47.44123483439196;19.160046;18.932209;18.354528;18.613653;BA;N;21.185489654541016;Previously found in L25,W25
30;350;TILE102046114_-537470718265754600;EUCLJ033459.30-263431.66;53.74707184882156;-26.575460061197727;17.786507;17.997952;17.34245;17.758024;A;N;20.773935317993164;Previously found in Jacob+ 19,E25
31;165;TILE102158586_2710834800648486342;EUCLJ180420.04+645055.08;271.08348004173496;64.84863421733759;21.214817;20.63602;19.92106;20.261023;AA;N;20.763103485107425;Previously found in L25,W25
32;126;TILE102044188_-544517310278613198;EUCLJ033748.42-275140.75;54.45173100879106;-27.86131985279404;19.332895;19.280575;18.52834;18.898792;AB;N;20.399038314819336;Previously found in L25,W25
33;42;TILE102020539_-641383802490968352;EUCLJ041633.21-490548.61;64.13838028821728;-49.09683520382191;21.598349;20.68858;19.97138;20.308615;AA;N;20.155763626098636;Previously found in L25,W25
34;134;TILE102045464_-514418387268262939;EUCLJ032546.04-264934.66;51.44183879061816;-26.82629397895439;22.230455;21.023207;20.214355;20.591385;BB;N;19.91148376464844;Previously found in L25,W25
35;40;TILE102020538_-631689440492354239;EUCLJ041240.55-491407.53;63.16894406176176;-49.23542398043353;22.387672;21.17284;20.291233;20.71886;BA;N;19.688432693481445;Previously found in L25,W25
36;122;TILE102044183_-515787441281897369;EUCLJ032618.90-281123.05;51.57874416555804;-28.189736933084728;20.63087;20.344654;19.651136;20.027302;AA;N;19.63726806640625;Previously found in L25,W25
37;195;TILE102159481_2634849207665073829;EUCLJ173356.38+663026.58;263.48492071150446;66.50738290801786;21.367943;20.529158;19.77433;20.171158;AA;N;19.631860733032227;Previously found in L25,W25
38;129;TILE102044824_-528789191276364582;EUCLJ033130.94-273811.25;52.87891913064314;-27.636458287943867;21.735985;20.961735;20.05618;20.488329;BA;N;19.030349731445312;Previously found in L25,W25
39;142;TILE102046114_-537084154267015431;EUCLJ033450.02-264205.56;53.70841543605162;-26.70154319440072;21.853924;21.135084;20.379982;20.835457;AA;N;18.8339958190918;Previously found in L25,W25
40;99;TILE102023984_-628683592457046709;EUCLJ041128.41-454216.82;62.8683592745232;-45.704670979868624;19.323074;19.291756;18.542068;18.90297;BA;N;18.826993942260746;Previously found in L25,W25
41;86;TILE102022477_-612993633468010321;EUCLJ040511.85-464803.72;61.29936330935708;-46.80103217199372;20.065332;19.729357;19.126991;19.394165;BB;N;18.701143264770508;Previously found in L25,W25
42;114;TILE102042917_-539279061291936993;EUCLJ033542.70-291137.32;53.92790616393022;-29.19369935009748;20.780758;20.299944;19.625969;19.952177;AA;N;18.693513870239254;Previously found in L25,W25
43;199;TILE102159486_2691200739666476860;EUCLJ175628.82+663851.67;269.1200739576987;66.64768602598777;20.678516;20.325155;19.608437;19.951279;BB;N;18.68074607849121;Previously found in L25,W25
